,depth,lat,lon,modtemp,obstemp,time
19,[  2.   3.   4.   8.  10.  12.  13.  14.  18.  27.],36.564154246000001,-75.075635149999982,"[25.219759, 25.220467, 25.221088, 25.140459, 24.748529, 24.549109, 24.385136, 24.143553, 18.268871, 13.459382]","[ 22.42   21.635  21.635  17.958  15.113  13.134  12.958  12.127  11.214
  10.71 ]",2013-08-20 00:00:00
20,[  2.   7.   8.   9.  10.  11.  12.  15.  21.  31.],36.603100220999998,-74.998984410000006,"[25.386715, 25.332262, 25.25458, 25.134579, 24.993343, 24.843502, 24.667881, 22.202782, 14.824657, 12.905128]","[ 22.73   20.198  18.077  18.077  15.733  15.51   13.717  12.334  11.233
  11.01 ]",2013-08-21 00:00:00
21,[  2.   6.   8.   9.  10.  11.  13.  15.  17.  45.],36.596030735999996,-74.897658719999981,"[25.534687, 25.535561, 25.535601, 25.53549, 25.53549, 25.534937, 25.482531, 25.275267, 24.499512, 12.654312]","[ 24.4    23.023  21.719  20.531  16.604  14.619  12.344  11.779  10.417
   9.91 ]",2013-08-21 12:00:00
22,[  2.   7.   8.   9.  12.  13.  16.  21.  23.  33.],36.619382121999998,-74.954533119999979,"[25.708763, 25.53661, 25.414856, 25.273262, 24.785856, 24.594353, 22.208635, 15.860159, 14.132626, 12.90106]","[ 24.09   21.814  20.278  20.224  17.166  15.523  13.947  12.573  10.984
  10.62 ]",2013-08-21 20:00:00
23,[ 2.  3.  3.  3.  3.  3.  3.  3.  3.  3.],36.630542543000004,-74.896715389999983,"[25.950798, 25.951742, 25.951742, 25.951742, 25.951742, 25.951742, 25.951742, 25.951742, 25.951742, 25.951742]",[ 24.82  24.82  24.82  24.82  24.82  24.82  24.82  24.82  24.82  24.82],2013-08-22 08:00:00
24,[  2.   6.   9.  10.  12.  13.  14.  16.  24.  40.],36.603959553999999,-74.940925289999981,"[25.655697, 25.658989, 25.660681, 25.642763, 25.357149, 25.136477, 24.890137, 23.620667, 15.894925, 14.303439]","[ 24.69   22.529  18.868  18.292  15.309  15.194  13.551  12.139  10.669
  10.28 ]",2013-08-22 12:00:00
25,[  2.   4.   7.  10.  11.  12.  13.  14.  19.  31.],36.624845696000001,-74.962604229999982,"[25.617443, 25.619329, 25.623056, 25.636297, 25.641195, 25.63299, 25.57638, 25.438503, 22.074499, 14.268621]","[ 24.04   23.379  21.083  17.01   16.401  14.624  14.222  13.003  11.576
  11.07 ]",2013-08-23 00:00:00
26,[  2.   6.   8.  10.  11.  14.  15.  19.  25.  34.],36.611229762000001,-74.957238649999979,"[25.307268, 25.30723, 25.30271, 25.283003, 25.248758, 24.851177, 23.884775, 19.050182, 14.692888, 14.496005]","[ 24.66   23.381  21.946  19.641  19.303  16.168  14.509  12.02   10.867
  10.6  ]",2013-08-23 20:00:00
27,[  2.   4.   6.   7.  11.  12.  14.  17.  22.  33.],36.615502690999996,-75.015813480000006,"[25.222757, 25.223709, 25.227356, 25.230974, 25.157251, 25.041437, 24.40346, 20.337721, 14.897625, 14.337034]","[ 24.22   23.433  21.645  21.445  16.363  15.896  13.748  12.227  11.294
  10.88 ]",2013-08-24 00:00:00
28,[  2.   9.  10.  11.  12.  13.  15.  17.  26.  29.],36.617354489999997,-75.09256954,"[24.875315, 24.875132, 24.873156, 24.869812, 24.861353, 24.757851, 23.790403, 20.919132, 15.1134, 15.105815]","[ 23.84   21.82   20.363  20.183  17.65   17.363  14.555  13.432  11.89
  12.165]",2013-08-24 20:00:00
